bin(qiskit),0000,1000,0100,1100,0010,1010,0110,1110,0001,1001,0101,1101,0011,1011,0111,1111
dec,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
step:0,0,0,3,40,0,39,15,1102,0,0,0,0,0,0,0,1
step:1,139,99,110,89,55,57,54,57,95,95,84,78,54,44,51,39
step:2,89,105,61,60,88,82,50,63,103,86,55,61,99,80,57,61
step:3,121,103,103,117,94,101,93,84,57,57,48,57,42,44,41,38
step:4,135,88,118,88,52,57,57,40,91,80,116,86,59,42,58,33
step:5,133,115,121,105,114,99,111,84,36,46,48,31,47,32,39,39
step:6,117,92,123,79,61,55,70,42,120,81,108,72,44,44,40,52
step:7,119,75,102,91,91,89,87,62,73,66,59,57,68,51,59,51
step:8,114,87,101,95,86,54,71,62,69,63,94,72,68,53,50,61
step:9,61,88,64,65,87,94,71,76,75,77,63,81,75,69,86,68
step:10,61,83,65,63,60,74,88,80,82,98,73,79,73,73,78,70
step:11,85,70,76,83,93,82,75,77,80,85,59,73,58,78,55,71
